,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
56,Scrambled Eggs,Softly scrambled cage-free eggs,"Cage-free eggs, canola oil",131.74,8.95,11.11,0.0
57,Sausage Patties,Griddled pork sausage patty,"Pork sausage patty (pork, water, salt, spices, dextrose, BHT, citric acid, propyl gallate)",190.0,17.0,8.0,1.0
58,Tater Tots,Crispy fried tater tots.,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil",279.0,20.27,1.86,21.33
59,White Rice,Steamed white rice,"White rice, water",161.7,0.26,2.97,35.64
60,Scrambled Egg Whites,,"Cage-free egg whites, canola oil",95.1,5.18,10.15,0.78
61,Tofu Scramble,"Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.","Organic firm tofu (contains soy), yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric",72.17,4.54,5.95,3.36
62,Platform Hours 7am-10am,,,,,,
63,Southwestern Omelet,"Fluffy omelet filled with ham, roasted pepper and onions, cheese, and our house Chipotle sour cream","Cage-free eggs, canola/olive oil blend, smoked deli ham (pork cured with water, salt, sugar, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite), house Chipotle sour cream (Mexican sour cream [cultured cream. Contains less than 2% of whey, modified food starch {corn}, sodium tripolyphosphate, carrageenan, calcium sulfate, locust bean gum, guar gum, sat, gelatin, potassium sorbate], Chipotle Adobo pepper sauce [water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices]), milk yellow Cheddar cheese, red and green bell peppers, yellow onion",1161.33,113.66,36.34,3.52
64,Cheese Omelet,"Fluffy egg omelet filled with Cheddar and Monterey Jack cheese, topped with our house phesto","Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)",616.95,53.92,30.24,0.51
65,Tater Tots,Crispy fried tater tots.,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil",279.0,20.27,1.86,21.33
66,House Roasted Salsa,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro","Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt",10.15,0.4,0.32,1.6
